title,url,date,preview,raw_date
No Title,#,2025-02-16,No Preview,2 mai 2025
No Title,#,,No Preview,29 avril 2025
No Title,#,,No Preview,29 avril 2025
Derrière le rideau : les secrets des comédiens béninois,https://srtb.bj/2025_04_04_derriere_le_rideau_les-secrets_des_comediens_beninois/,2025-04-16,"Au Bénin, la scène artistique est en pleine effervescence. Des comédiens passionnés et talentueux y tracent leur chemin. Des planches du théâtre aux écrans de...",4 avril 2025
Grand Prix Littéraire du Bénin : quatre lauréats récompensés,https://srtb.bj/2025_03_31_grand_prix_litteraire_du_benin_quatre_laureats_recompenses/,,2025_03_31_grand_prix_litteraire_du_benin_quatre_laureats_recompenses...,31 mars 2025
[Audio] Poésie : un moyen pour améliorer l’art oratoire des enfants,https://srtb.bj/2025_03_28_audio_poesie_un_moyen_pour_ameliorer_lart_oratoire_des_enfants/,,"La poésie, en tant que genre littéraire, offre bien plus qu'une simple exploration des mots et des rythmes. Elle favorise le développement des compétences orales...",28 mars 2025
"[Audio] Le conte : du récit à la moralité, outil d’éducation",https://srtb.bj/audio-le-conte-du-recit-a-la-moralite-outil-deducation/,,"“Il était une fois !”. Ce groupe de mots bien connu en Afrique annonce généralement un conte. Le soir au clair de lune, chants et...",21 mars 2025
Bénin : une nouvelle ère pour la chefferie traditionnelle,https://srtb.bj/2025_03_17_benin_une_nouvelle_ere_pour_la_chefferie_traditionnelle/,,"Au Bénin, la chefferie traditionnelle est désormais encadrée par une loi adoptée le 13 mars 2025 à l’Assemblée nationale. Le document fixe les attributions de...",17 mars 2025
Bénin : bientôt un hommage à Toussaint Louverture avec un nouvel aménagement,https://srtb.bj/oussaint-louverture_un_site_plus_commode_pour_toussaint_louverture/,,"Le Bénin marque un tournant dans la valorisation de son patrimoine historique. Les autorités annoncent l’aménagement de la place dédiée à Toussaint Louverture, fils d’esclaves...",17 mars 2025
"Lutte contre l’islamophobie : Allah, Mahou, Oluwa, un seul Dieu",https://srtb.bj/lutte-contre-lislamophobie-allah-mahou-oluwa-un-seul-dieu/,,"Le monde entier célèbre ce 15 mars 2025, la toute première édition de la Journée internationale de lutte contre l'islamophobie. Proclamée en mars 2023, cette...",15 mars 2025
Osaka 2025 : le Bénin en route vers l’exposition universelle,https://srtb.bj/2025_03_12_exposition_universelle_osaka_2025_le_benin_en_route/,2025-12-16,Le Bénin sera présent à l’exposition universelle d’Osaka 2025. Le pays veut saisir cette occasion pour se révéler encore au monde....,12 mars 2025
Journée internationale de la langue maternelle : concilier multilinguisme et technologie,https://srtb.bj/journee_internationale_de_la_langue_maternelle_concilier_multilinguisme_et_technologie/,,La Journée internationale de la langue maternelle est célébrée chaque année le 21 février. Elle est dédiée à la protection de la diversité linguistique et...,21 février 2025
Culture : voici les attractions incontournables du premier trimestre 2025 au Bénin,https://srtb.bj/culture_voici_les_attractions_incontournables_du_premier_trimestre_2025_au_benin/,,"Au Bénin, la culture est à l'honneur jusqu’en mars 2025. Un nombre important de manifestations sont au programme dans le pays. Entre concerts, expositions et...",20 février 2025
No Title,#,2025-02-16,No Preview,2 mai 2025
No Title,#,,No Preview,29 avril 2025
No Title,#,,No Preview,29 avril 2025
Wémèxwé 2025 : cinq jours pour célébrer la culture et les arts,https://srtb.bj/wemexwe-2025-cinq-jours-pour-celebrer-la-culture-et-les-arts/,2025-11-16,"Wémèxwé 2025, la fête identitaire des ressortissants du département de l’Ouémé se déroule du 19 au 23 février prochain. La commune des Aguégués accueille cette...",11 février 2025
"Willy Mignon : une voix, un style entre mille éteints",https://srtb.bj/05_02_2025_willy-mignon-une-voix-un-style-entre-mille-eteints/,2025-05-16,"Connu sous le nom de scène Willy Mignon, Wilfried Mignon s'est éteint le 4 février 2025 au Burkina Faso....",5 février 2025
Festival “Bolou” : la neuvième édition a fait vibrer Calavi,https://srtb.bj/2025_02_03_festival_bolou_9eme_edition_a_calavi/,2025-03-16,"Les filles et fils Idàáshà de Cotonou, Calavi et environs ont célébré la culture ce dimanche 2 février 2025 à Abomey-Calavi. C’était à l’occasion de...",3 février 2025
Vodun days 2025 : Ouidah s’embellit de son Arène,https://srtb.bj/vodun-days-2025-ouidah-sembellit-de-son-arene/,2025-11-16,Les Vodun days 2025 dans la ville historique béninoise ont pris fin ce 11 janvier. L’inauguration de l’Arène de Ouidah a marqué l’acte final. ...,11 janvier 2025
Vodun days 2025 : voici les prédictions du fâ pour le Bénin,https://srtb.bj/vodun-days-2025-voici-les-predictions-du-fa-pour-le-benin/,2025-10-16,"La Grande cérémonie vodun est le point culminant de la célébration de la fête annuelle des religions traditionnelles. Très attendue, elle est conduite par les...",10 janvier 2025
En vedette  Les vodun days à Ouidah : le festival en direct,https://srtb.bj/les-vodun-days-2025-a-ouidah-le-festival-en-direct/,2025-09-16,Ouidah est en pleine effervescence à l'occasion des Vodun days 2025. La ville-musée du Bénin s’anime du 9 au 11 janvier plus que les jours...,9 janvier 2025
Vodun days 2025 : les premières heures d’un Ouidah lumineux,https://srtb.bj/vodun-days-2025-les-premieres-heures-dun-ouidah-lumineux/,2025-09-16,"Ouidah, la ville historique du Bénin s’est réveillée aux sons des animations vodun. Cette première journée donne le ton des activités entrant dans le cadre...",9 janvier 2025
Bénin : Ouidah en pleine effervescence avant les Vodun days 2025,https://srtb.bj/benin-ouidah-en-pleine-effervescence-avant-les-vodun-days-2025/,2025-09-16,"Ouidah est en pleine effervescence avant les Vodun days 2025. La ville-musée du Bénin est très lumineuse ce 08 janvier, à quelques heures de la...",9 janvier 2025
Vodun Days 2025 : une couverture intégrale assurée par la SRTB,https://srtb.bj/vodun-days-2025-une-couverture-integrale-assuree-par-la-srtb/,2025-08-16,L’édition 2025 des vodun days promet une visibilité mondiale grâce à une couverture exceptionnelle assurée par la Société de Radio et de Télévision du Bénin...,8 janvier 2025
Biens culturels : voici comment la récade du roi Béhanzin a échappé à la vente aux enchères en France,https://srtb.bj/biens-culturels-voici-comment-la-recade-du-roi-behanzin-a-echappe-a-la-vente-aux-encheres-en-france/,,"C’est une victoire d’étape pour le Bénin. La récade du roi Béhanzin, n’a plus figuré dans une vente publique intitulée “Tribal Exception”....",26 décembre 2024
No Title,#,2025-02-16,No Preview,2 mai 2025
No Title,#,,No Preview,29 avril 2025
No Title,#,,No Preview,29 avril 2025
"Vodun days 2025 : un pèlerinage unique entre foi, culture et tourisme",https://srtb.bj/vodun_days_2025_un_pelerinage_unique_entre_foi_culture_et-_tourisme/,,"Les Vodun days reviennent en 2025 avec un contenu plus diversifié que celui de l’édition précédente. Le ministre du Tourisme et de la culture, Jean-Michel...",24 décembre 2024
Noël 2024 : voici notre sélection des cinq lieux les plus attractifs de Cotonou,https://srtb.bj/noel-2024-voici-notre-selection-des-cinq-lieux-les-plus-attractifs-de-cotonou/,,"Cotonou regorge de lieux enchanteurs pour célébrer Noël en famille. A la veille de la fête de la nativité, la ville métropole du Bénin scintille...",23 décembre 2024
Bénin Top 10 : Vano Baby règne sans partage,https://srtb.bj/2024_12_20_benin_top_10_vano_baby_un_regne_sans_partage/,,"En recevant pour la troisième fois consécutive, le titre d’“Artiste de l’année” au Bénin Top 10, Vano Baby s’installe définitivement au firmament de la musique...",20 décembre 2024
Vodun days 2025 : les grandes affiches de la célébration se dévoilent,https://srtb.bj/vodun-days-2025-les-grandes-affiches-de-la-celebration-se-devoilent/,2024-10-16,"A un mois des Vodun days,  les grandes affiches du festival se dévoilent au public. Le pèlerinage Vodun qui se déroule à Ouidah du 09...",10 décembre 2024
Violences sexistes au Bénin : Angela Kpeidja porte la voix des victimes dans deux nouveaux ouvrages,https://srtb.bj/violences-sexistes-au-benin-angela-kpeidja-porte-la-voix-des-victimes-dans-deux-nouveaux-ouvrages/,,L’engagement de Angela Kpeidja pour l’élimination des violences faites aux femmes et filles ne faiblit pas.  La journaliste a encore mis sa plume au service...,29 novembre 2024
VBG : Angela Kpeidja brise à nouveau le silence dans deux nouvelles œuvres,https://srtb.bj/vbg-angela-kpeidja-brise-a-nouveau-le-silence-dans-deux-nouvelles-oeuvres/,,"Après “Bris de Silence”, Angela Kpeidja revient le 28 novembre 2024, dans les rayons des librairies avec  “A l’encre de nos silences”. Le nouveau livre...",26 novembre 2024
PRIMUD 2024 : Axel Merryl et Richard Flash honorent le Bénin,https://srtb.bj/primud-2024-axel-merryl-et-richard-flash-honorent-le-benin/,2024-12-16,"Les Béninois, Axel Merryl et Richard Flash, ont brillé aux PRIMUD 2024 en Côte d'Ivoire....",12 novembre 2024
Littérature au Bénin : les défis de la publication d’une œuvre littéraire,https://srtb.bj/litterature-au-benin-les-defis-de-la-publication-dune-oeuvre-litteraire/,2024-09-16,"Le Bénin regorge de nombreux écrivains talentueux. A travers leurs plumes, ils s’expriment sur divers sujets sociopolitiques et culturels. Mais avant l’étape de la publication...",9 novembre 2024
Bénin : le marché annuel du Livre s’ouvre le 20 novembre,https://srtb.bj/benin-le-marche-annuel-du-livre-souvre-le-20-novembre/,2024-06-16,"Au Bénin, le marché annuel des productions livresques ouvre ses portes le 20 nombre 2024. C’est le Salon National du Livre (SNL) devenu une plateforme...",6 novembre 2024
Bénin : un milliard de FCFA pour la création artistique,https://srtb.bj/benin-un-milliard-de-fcfa-pour-la-creation-artistique/,,Le Bénin va financer les œuvres artistiques avec une enveloppe de plus d’un milliard de Francs CFA. L’ouverture du Fonds de développement des arts et...,14 octobre 2024
No Title,#,2025-02-16,No Preview,2 mai 2025
No Title,#,,No Preview,29 avril 2025
No Title,#,,No Preview,29 avril 2025
France : l’art contemporain béninois exposé à la Conciergerie,https://srtb.bj/france-lart-contemporain-beninois-expose-a-la-conciergerie/,2024-04-16,L'exposition se déroule du 4 octobre 2024 au 5 janvier 2025. Elle présente une quarantaine d'artistes et une centaine d'œuvres qui illustrent la richesse de...,4 octobre 2024
"Vodun days 2025 : les 09, 10 et 11 janvier pour une immersion culturelle",https://srtb.bj/vodun-days-2025-les-09-10-et-11-janvier-pour-une-immersion-culturelle/,2024-01-16,"Du 09 au 11 janvier 2025, la 2è édition des Vodun days se déroule à Ouidah au Bénin. La célébration promet d'offrir aux touristes un...",1 octobre 2024
Culture : l’art contemporain du Bénin s’installe à Paris (Conciergerie) cette semaine,https://srtb.bj/2024_09_30_exposition_revelation_art_contemporain_du_benin_paris_conciergerie/,,"Après Rabat et la Martinique, l’exposition Révélation ! Art contemporain du Bénin prend ses quartiers à Paris à partir du vendredi 4 octobre 2024....",30 septembre 2024
Gaani de la Gnon Kogui : voici les trois moments forts,https://srtb.bj/gaani-de-la-gnon-kogui-voici-les-trois-moments-forts/,,"La Gaani de la Gnon Kogui a pris fin samedi 21 septembre 2024 à Nikki. Des rituels, mais aussi des activités intellectuelles ont marqué cette...",23 septembre 2024
Gaani 2024 : immersion dans les festivités impériales de Nikki,https://srtb.bj/gaani-2024-immersion-dans-les-festivites-imperiales-de-nikki/,,"Les manifestations de la Gaani, édition 2024, ont pris fin dimanche 15 septembre à Nikki. Plusieurs activités culturelles ont meublé le festival emblématique du nord-est...",16 septembre 2024
Gaani 2024 à Nikki : 5 choses à savoir sur la célébration,https://srtb.bj/gaani-2024-a-nikki-5-choses-a-savoir-sur-la-celebration/,2024-09-16,"Pour la deuxième fois sous le règne de l’actuel empereur Séro Torou Touko Sari, la Gaani 2024 sera marquée par des événements culturels variés et...",9 septembre 2024
"Tourisme : avec le Sofitel Cotonou Marina, le Bénin entre dans l’ère de l’hôtellerie de luxe",https://srtb.bj/2024_09_06_tourisme_sofitel_cotonou_marina_benin_entre_ere_du_luxe/,2024-06-16,Le premier hôtel classé cinq étoiles au Bénin a ouvert ses portes à la clientèle début septembre. Le Sofitel Cotonou Marina Hotel & Spa vise...,6 septembre 2024
Concert : l’autre affiche inédite du Festival des masques,https://srtb.bj/concert-lautre-affiche-inedite-du-festival-des-masques/,2024-05-16,"Inscrite au menu du Festival des masques, une série de concerts a rythmé la ville de Porto-Novo durant trois jours. La dernière affiche a eu lieu...",5 août 2024
Festival des masques : un défilé extraordinaire pour la clôture,https://srtb.bj/festival-des-masques-un-defile-extraordinaire-pour-la-cloture/,2024-05-16,"Après deux jours de manifestations, le rideau est tombé sur le Festival des masques de Porto-Novo dans la soirée de la troisième journée. C’est par...",5 août 2024
Festival des masques : des rencontres scientifiques pour plus de productions sur le Vodun,https://srtb.bj/festival-des-masques-des-rencontres-scientifiques-pour-plus-de-productions-sur-le-vodun/,2024-04-16,"La dimension intellectuelle s’invite au Festival des masques à Porto-Novo. Depuis le 02 août, des chercheurs et enseignants de diverses nationalités exposent leurs différents travaux...",4 août 2024
No Title,#,2025-02-16,No Preview,2 mai 2025
No Title,#,,No Preview,29 avril 2025
No Title,#,,No Preview,29 avril 2025
